id,name,nickname,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
658c3465581ae46b,Pat Barry,HD,"5'11""",235,74,1979,2.72,52,3.54,59,.0.00,0,76,..0.2,5,7,-2,-2
b8c0f30ee9a98b69,Fernando Bruno,Acougueiro,"5'6""",145,70,1982,1.75,39,1.78,48,.2.02,22,56,..0.5,0,2,-2,-2
5431dccc09118234,Lance Benoist,,"5'11""",170,73,1988,3.68,51,2.7,56,.1.50,33,61,..0.0,2,2,0,1
3dd92ff9fb0412b3,Ali Bagautinov,Puncher,"5'4""",125,65,1985,2.85,42,3.09,52,.2.51,36,65,..0.3,4,3,1,-1
b16a7e6a627e9789,Chase Beebe,,"5'7""",135,67,1985,2.17,38,1.64,69,.2.49,42,41,..0.9,2,5,-3,-5
07a2bdaa0afdd831,Rogerio Bontorin,,"5'6""",125,67,1992,4.26,53,4.06,35,.3.12,50,100,..1.6,0,0,0,0
e8fb8e53bc2e29d6,Marcus Bossett,The Grasshopper,"6'1""",215,,  --,0,0,0,0,.0.00,0,0,..0.0,1,2,-1,-1
d2c55d1d2e67773b,David Branch,,"6'1""",185,78,1981,1.67,40,1.89,56,.2.58,32,42,..0.0,4,4,0,-1
5c126c6aac3ef364,Poliana Botelho,,"5'8""",115,,1988,4.89,64,1.87,52,.0.96,100,100,..0.0,2,1,1,-1
7a359ef685a304a7,Amaury Bitetti,,"5'9""",185,,  --,0,0,0,0,.0.00,0,0,..0.0,1,1,0,1
fa6796c55d6c5440,Curtis Blaydes,Razor,"6'4""",265,80,1991,4.2,50,2.26,56,.6.82,57,25,..0.0,5,1,4,1
01f022fa494188e2,Josh Bryant,The Beast,"5'10""",185,,1980,1.1,20,6.1,43,.0.00,0,0,..0.0,0,1,-1,-1
87f0b37f153cf497,Michael Byrnes,,"5'11""",155,,1990,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
55f446032177b119,Chris Beal,Real Deal,"5'7""",125,69,1985,3.45,35,3.18,61,.1.60,58,78,..0.2,2,3,-1,-3
c2e3e67b5911bfb7,Diego Brandao,DB,"5'7""",145,68,1987,2.94,47,3.38,62,.3.21,68,80,..0.6,6,4,2,-1
8a56ea383fd26e52,Galore Bofando,,"5'11""",170,72,1982,3.63,45,3.63,54,.2.37,100,50,..0.0,1,1,0,-1
231926533134ec1f,Justin Buchholz,,"6'0""",155,73,1983,2.35,26,4.14,51,.0.00,0,33,..0.8,1,4,-3,-3
d1dcd4e96464a53d,Jules Bruchez,,"6'0""",205,,1977,0.69,50,5.52,46,.0.00,0,0,..0.0,0,1,-1,-1
4130a743d9d22163,Alan Belcher,The Talent,"6'2""",185,73,1984,2.7,41,3.1,59,.0.44,26,55,..0.9,9,6,3,-2
a4de54ea806fb525,Ray Borg,The Tazmexican Devil,"5'4""",125,63,1993,1.31,48,1.92,47,.2.91,44,39,..1.4,5,3,2,-1
80c0bed43da0e27b,David Baron,,"5'6""",155,,1973,1.17,30,2.1,56,.0.00,0,14,..0.7,0,2,-2,-2
d26394fc0e8e880a,Ricardo Barros,,"6'1""",205,,1976,0,0,8.22,31,.0.00,0,100,..0.0,0,1,-1,-1
c0342805a1948cbb,Lee Kwan Bum,,"6'2""",286,,  --,0.71,14,0,100,.0.00,0,0,..0.0,0,1,-1,-1
b2f743746e8dcfa2,Jason Black,The Black Legion,"5'8""",155,,1972,1.06,47,2.6,45,.0.48,33,28,..6.2,2,3,-1,-3
2f3f12002564bb55,Steve Bruno,Hollywood,"5'10""",170,,1981,0.96,52,3.38,36,.1.94,25,46,..0.4,1,2,-1,-1
52b3ec072ad497a4,Dominic Brown,,"5'11""",190,,1982,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
6a740daf1b279661,Maycee Barber,The Future,"5'5""",115,65,1998,8.46,69,4.37,32,.2.12,30,100,..0.0,1,0,1,1
3236bf606fe9fa5b,Travis Browne,Hapa,"6'6""",255,79,1982,2.93,41,4.31,42,.1.21,68,75,..0.2,9,7,2,-4
2891c9f7b26b26fc,Bret Bergmark,The Angry Hick,"5'9""",170,,1973,2.78,52,2.78,37,.4.17,100,50,..4.2,1,1,0,1
ce05955c26c3c090,Eric Bedard,Lucky Strikes,"6'2""",239,,1984,6.37,35,8.54,52,.0.00,0,0,..0.0,0,0,0,0
39cc64bf0a269db9,Niklas Backstrom,,"6'1""",145,74,1989,1.12,41,3.65,40,.2.92,80,72,..2.2,1,2,-1,-2
239224bedeb2c7a4,Chris Bostick,,,,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
2efbc83a6b9b7f86,Tai Bowden,,"5'11""",230,,  --,0,0,0,0,.0.00,0,0,..0.0,1,1,0,1
a6d8bfe9e0c8153b,Kevin Burns,The Fire,"5'10""",170,74,1980,2.74,38,4.3,52,.0.28,50,47,..0.8,2,3,-1,-3
