,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
1856,72c4b253d2f5ebf2,Roman Salazar,67,135.0,67.0,1.95,39,2.89,57,1.77,18,50,0.0,0,2,-2,-1
1857,3e36811b7bc1f6ad,John Salgado,70,170.0,75.0,0.99,50,1.86,40,0.0,0,50,0.0,0,1,-1,-1
1858,447f9858ae78f921,Muslim Salikhov,71,170.0,70.0,1.99,46,1.42,63,0.0,0,62,0.0,1,1,0,1
1859,a049aa06508b9c7b,Brandon Saling,70,170.0,75.0,2.88,40,6.08,20,0.0,0,57,0.0,0,1,-1,-1
1860,7c0847d3854a95f2,Sean Salmon,70,185.0,75.0,1.49,33,2.03,65,4.06,50,0,0.0,0,3,-3,-3
1861,98e946879ba20c0f,Boston Salmon,69,135.0,69.0,4.07,35,7.33,62,0.0,0,100,0.0,0,0,0,0
1862,010986ee359fb863,John Salter,73,185.0,74.0,1.68,32,1.68,68,2.85,46,66,0.5,2,2,0,1
1863,9deff9e3e8d94d47,Josh Samman,75,185.0,79.0,2.08,52,2.47,34,1.09,33,33,0.4,3,2,1,-2
1864,b23388ff8ac6637b,Johnny Sampaio,68,170.0,75.0,1.32,40,2.64,50,9.89,50,0,9.9,0,1,-1,-1
1865,f65dcb22dada2223,Joshua Sampo,64,125.0,64.0,1.99,36,2.96,55,1.06,33,40,2.1,1,3,-2,-3
1866,546f8599a63c29da,Roberto Sanchez,66,125.0,66.0,0.96,40,1.78,46,3.61,62,50,0.7,1,2,-1,-1
